username,community,topic,following,followers
krone_at,Right-Wing,Health Care,"['zeitimbild', 'heute_at', 'bluenews_ch', 'srfnews', 'rtlaktuell']","['watson_news', 'faz', 'zeit', 'rtlaktuell']"
synthetic_user_0,Centrist,Economic Policy,"['zeitimbild', 'watson_news']","['srfnews', 'kleinezeitung', 'watson_news', 'derstandard']"
synthetic_user_1,Economic Reform,Health Care,"['zeit', 'heute_at', 'kleinezeitung', 'rtlaktuell']","['tagesschau', 'faz', 'heute_at', 'tagesanzeiger', 'zeitimbild']"
synthetic_user_2,Centrist,Foreign Policy,"['watson_news', 'tagesanzeiger', 'tagesschau', '20minuten']","['rtlaktuell', 'krone_at']"
synthetic_user_3,Environmental,Health Care,"['tagesanzeiger', 'zeitimbild', 'watson_news']","['faz', 'tagesanzeiger']"
synthetic_user_4,Left-Wing,Climate Change,"['20minuten', 'tagesanzeiger', 'faz']","['bluenews_ch', 'tagesanzeiger']"
synthetic_user_5,Environmental,Economic Policy,"['krone_at', 'zeit', '20minuten', 'derstandard']","['srfnews', 'bluenews_ch', 'krone_at', 'zeitimbild']"
synthetic_user_6,Right-Wing,Health Care,"['zeit', 'srfnews', 'kurier_at', 'heute_at']","['zeitimbild', 'tagesschau', 'derstandard', 'kleinezeitung']"
synthetic_user_7,Left-Wing,Climate Change,"['zeit', 'bluenews_ch', 'rtlaktuell', '20minuten', 'watson_news']","['kleinezeitung', 'tagesanzeiger', '20minuten', 'srfnews']"
synthetic_user_8,Centrist,Foreign Policy,"['rtlaktuell', 'kurier_at', 'heute_at', 'derstandard']","['faz', 'tagesanzeiger', 'krone_at', 'rtlaktuell']"
synthetic_user_9,Left-Wing,Health Care,"['bluenews_ch', 'zeitimbild']","['faz', 'watson_news', '20minuten', 'krone_at']"
synthetic_user_10,Right-Wing,Health Care,"['20minuten', 'watson_news', 'zeitimbild']","['rtlaktuell', 'faz', 'zeit', 'watson_news', 'bluenews_ch']"
synthetic_user_11,Right-Wing,Foreign Policy,"['bluenews_ch', 'zeitimbild', 'faz', 'tagesschau']","['srfnews', 'tagesanzeiger', 'faz', 'krone_at']"
synthetic_user_12,Right-Wing,Foreign Policy,"['heute_at', 'krone_at']","['zeit', 'kurier_at', 'tagesanzeiger', 'watson_news', 'bluenews_ch']"
synthetic_user_13,Environmental,Health Care,"['rtlaktuell', 'kurier_at', 'zeit', 'tagesanzeiger']","['tagesschau', 'heute_at', 'zeit', 'krone_at']"
synthetic_user_14,Centrist,Social Justice,"['watson_news', 'zeitimbild', 'kleinezeitung', 'tagesschau', 'krone_at']","['derstandard', 'kleinezeitung', 'watson_news', 'tagesschau']"
synthetic_user_15,Economic Reform,Foreign Policy,"['tagesschau', 'zeitimbild', 'watson_news', 'kleinezeitung']","['tagesanzeiger', 'srfnews', 'bluenews_ch', 'faz']"
synthetic_user_16,Environmental,Social Justice,"['faz', 'kurier_at', 'rtlaktuell', 'tagesanzeiger']","['zeit', 'rtlaktuell', 'faz']"
synthetic_user_17,Right-Wing,Foreign Policy,"['bluenews_ch', 'srfnews', 'kurier_at', '20minuten', 'faz']","['faz', 'bluenews_ch', 'zeit']"
synthetic_user_18,Environmental,Climate Change,"['rtlaktuell', 'srfnews']","['watson_news', 'rtlaktuell', 'heute_at', 'kleinezeitung']"
synthetic_user_19,Environmental,Climate Change,"['zeitimbild', 'tagesschau', 'kleinezeitung', 'zeit', 'watson_news']","['20minuten', 'tagesschau']"
synthetic_user_20,Left-Wing,Climate Change,"['tagesanzeiger', 'srfnews', 'krone_at']","['watson_news', 'kurier_at']"
synthetic_user_21,Environmental,Foreign Policy,"['zeit', 'heute_at']","['kurier_at', 'faz', 'krone_at', 'zeit', 'srfnews']"
synthetic_user_22,Centrist,Social Justice,"['kurier_at', 'kleinezeitung', 'zeit', 'faz', '20minuten']","['zeit', 'srfnews', 'rtlaktuell']"
synthetic_user_23,Right-Wing,Social Justice,"['derstandard', 'tagesanzeiger', '20minuten']","['zeit', 'zeitimbild']"
synthetic_user_24,Left-Wing,Economic Policy,"['watson_news', 'faz', 'heute_at', 'zeit', 'bluenews_ch']","['faz', 'watson_news', 'zeit']"
synthetic_user_25,Centrist,Economic Policy,"['tagesanzeiger', 'bluenews_ch']","['zeit', 'rtlaktuell', 'kleinezeitung', 'bluenews_ch']"
synthetic_user_26,Economic Reform,Health Care,"['derstandard', 'rtlaktuell']","['rtlaktuell', 'heute_at', 'watson_news', 'srfnews', 'zeitimbild']"
synthetic_user_27,Right-Wing,Climate Change,"['zeit', 'krone_at', '20minuten', 'tagesschau']","['srfnews', 'heute_at', 'krone_at', 'rtlaktuell', 'kleinezeitung']"
synthetic_user_28,Economic Reform,Economic Policy,"['bluenews_ch', 'heute_at', 'tagesanzeiger', 'zeit']","['krone_at', 'zeit', 'bluenews_ch', 'watson_news', 'rtlaktuell']"
synthetic_user_29,Environmental,Economic Policy,"['watson_news', 'tagesschau', 'tagesanzeiger', 'derstandard', 'bluenews_ch']","['zeitimbild', 'kurier_at']"
synthetic_user_30,Left-Wing,Foreign Policy,"['krone_at', 'tagesschau', 'heute_at', 'kleinezeitung', 'rtlaktuell']","['zeit', 'srfnews', 'derstandard', 'watson_news', 'zeitimbild']"
synthetic_user_31,Centrist,Climate Change,"['zeitimbild', 'zeit', 'rtlaktuell', 'tagesschau']","['bluenews_ch', 'watson_news', 'derstandard']"
synthetic_user_32,Economic Reform,Health Care,"['tagesschau', 'bluenews_ch', 'kleinezeitung']","['tagesanzeiger', 'zeitimbild', 'srfnews', 'watson_news', 'derstandard']"
synthetic_user_33,Environmental,Foreign Policy,"['heute_at', 'bluenews_ch']","['heute_at', '20minuten']"
synthetic_user_34,Right-Wing,Health Care,"['krone_at', 'faz', 'kleinezeitung', 'zeit', 'watson_news']","['srfnews', 'kleinezeitung']"
synthetic_user_35,Centrist,Foreign Policy,"['derstandard', 'srfnews', 'bluenews_ch']","['zeit', 'derstandard', 'bluenews_ch']"
synthetic_user_36,Environmental,Foreign Policy,"['bluenews_ch', 'krone_at', 'watson_news']","['faz', 'bluenews_ch', 'krone_at', 'srfnews']"
synthetic_user_37,Right-Wing,Health Care,"['bluenews_ch', 'watson_news', 'zeitimbild', 'srfnews', 'faz']","['krone_at', 'derstandard']"
synthetic_user_38,Environmental,Health Care,"['bluenews_ch', 'zeit', '20minuten']","['zeitimbild', 'kleinezeitung', 'bluenews_ch', 'srfnews', '20minuten']"
synthetic_user_39,Left-Wing,Climate Change,"['bluenews_ch', 'derstandard', 'faz', 'rtlaktuell']","['srfnews', 'heute_at']"
synthetic_user_40,Environmental,Economic Policy,"['20minuten', 'watson_news']","['tagesanzeiger', 'zeitimbild', 'rtlaktuell', 'watson_news', 'kurier_at']"
synthetic_user_41,Centrist,Climate Change,"['krone_at', 'kurier_at', 'derstandard', 'bluenews_ch', 'heute_at']","['tagesschau', 'srfnews', '20minuten', 'kurier_at']"
synthetic_user_42,Left-Wing,Health Care,"['faz', 'krone_at']","['faz', 'kurier_at', 'kleinezeitung', 'srfnews', 'zeit']"
synthetic_user_43,Economic Reform,Foreign Policy,"['faz', 'kleinezeitung']","['faz', 'zeitimbild']"
synthetic_user_44,Left-Wing,Foreign Policy,"['krone_at', 'faz', 'heute_at', 'rtlaktuell', 'srfnews']","['faz', 'srfnews', 'heute_at', 'zeit', 'bluenews_ch']"
synthetic_user_45,Economic Reform,Economic Policy,"['derstandard', 'tagesanzeiger', 'tagesschau', '20minuten']","['watson_news', 'faz', 'krone_at', 'kleinezeitung']"
synthetic_user_46,Economic Reform,Foreign Policy,"['tagesanzeiger', 'bluenews_ch', 'srfnews']","['rtlaktuell', 'zeitimbild', 'bluenews_ch']"
synthetic_user_47,Economic Reform,Economic Policy,"['derstandard', 'zeitimbild', 'bluenews_ch']","['zeitimbild', '20minuten']"
synthetic_user_48,Environmental,Economic Policy,"['watson_news', 'zeit', 'zeitimbild', 'kurier_at']","['kurier_at', 'bluenews_ch', 'faz']"
synthetic_user_49,Centrist,Social Justice,"['bluenews_ch', 'zeitimbild', 'faz']","['derstandard', 'krone_at', '20minuten', 'heute_at']"
synthetic_user_50,Left-Wing,Foreign Policy,"['kleinezeitung', '20minuten']","['faz', 'tagesschau', 'rtlaktuell', 'watson_news']"
synthetic_user_51,Left-Wing,Social Justice,"['srfnews', 'rtlaktuell']","['zeit', 'derstandard']"
synthetic_user_52,Left-Wing,Economic Policy,"['tagesanzeiger', 'zeitimbild', '20minuten', 'tagesschau', 'srfnews']","['derstandard', 'zeit', 'krone_at', 'tagesschau']"
synthetic_user_53,Environmental,Foreign Policy,"['20minuten', 'rtlaktuell', 'srfnews', 'tagesschau', 'kleinezeitung']","['krone_at', 'kurier_at', 'tagesschau']"
synthetic_user_54,Environmental,Economic Policy,"['derstandard', 'krone_at', 'tagesanzeiger', 'tagesschau', 'rtlaktuell']","['krone_at', 'heute_at', 'zeitimbild', 'bluenews_ch']"
synthetic_user_55,Environmental,Foreign Policy,"['bluenews_ch', 'zeitimbild', '20minuten']","['faz', 'bluenews_ch', 'zeit']"
synthetic_user_56,Right-Wing,Climate Change,"['faz', 'tagesanzeiger', 'bluenews_ch', 'tagesschau', 'derstandard']","['rtlaktuell', 'krone_at', 'faz', 'kleinezeitung']"
synthetic_user_57,Economic Reform,Foreign Policy,"['rtlaktuell', '20minuten']","['srfnews', 'kleinezeitung', 'rtlaktuell', 'zeit', 'tagesschau']"
synthetic_user_58,Environmental,Economic Policy,"['tagesanzeiger', 'srfnews', 'zeitimbild', '20minuten', 'derstandard']","['tagesanzeiger', 'tagesschau', 'faz', 'kurier_at', 'derstandard']"
synthetic_user_59,Centrist,Health Care,"['faz', 'tagesanzeiger', 'kurier_at']","['kleinezeitung', 'rtlaktuell', 'tagesanzeiger', 'zeitimbild', 'krone_at']"
synthetic_user_60,Environmental,Social Justice,"['watson_news', 'kleinezeitung', 'bluenews_ch', 'faz', 'krone_at']","['heute_at', '20minuten', 'kleinezeitung']"
synthetic_user_61,Centrist,Foreign Policy,"['bluenews_ch', 'heute_at', 'tagesanzeiger', 'faz', '20minuten']","['bluenews_ch', 'derstandard', 'tagesschau', 'krone_at', 'kurier_at']"
synthetic_user_62,Centrist,Economic Policy,"['kleinezeitung', 'zeitimbild', 'heute_at', 'kurier_at']","['watson_news', 'kurier_at', 'derstandard', '20minuten']"
synthetic_user_63,Environmental,Health Care,"['kurier_at', 'rtlaktuell', 'kleinezeitung']","['kurier_at', 'krone_at', '20minuten', 'kleinezeitung']"
synthetic_user_64,Environmental,Health Care,"['faz', 'tagesschau', 'rtlaktuell', '20minuten', 'zeit']","['20minuten', 'zeit']"
synthetic_user_65,Left-Wing,Economic Policy,"['watson_news', 'faz', 'derstandard', 'tagesschau', 'rtlaktuell']","['kleinezeitung', 'derstandard', 'srfnews', 'krone_at']"
synthetic_user_66,Right-Wing,Economic Policy,"['zeitimbild', 'watson_news', 'tagesschau', 'zeit']","['rtlaktuell', 'srfnews', 'tagesschau', 'watson_news']"
synthetic_user_67,Right-Wing,Social Justice,"['kurier_at', 'srfnews', 'tagesschau', 'zeitimbild']","['rtlaktuell', 'bluenews_ch', 'tagesschau', 'zeitimbild']"
synthetic_user_68,Environmental,Social Justice,"['tagesanzeiger', 'tagesschau', 'heute_at', 'srfnews', 'rtlaktuell']","['kurier_at', 'zeitimbild', '20minuten', 'tagesanzeiger', 'tagesschau']"
synthetic_user_69,Environmental,Social Justice,"['srfnews', 'kleinezeitung']","['zeitimbild', 'krone_at', 'kurier_at', 'tagesschau']"
synthetic_user_70,Economic Reform,Social Justice,"['watson_news', 'bluenews_ch']","['derstandard', 'zeit', 'heute_at']"
synthetic_user_71,Left-Wing,Foreign Policy,"['tagesschau', 'faz', 'derstandard', 'tagesanzeiger', 'bluenews_ch']","['faz', 'tagesschau']"
synthetic_user_72,Right-Wing,Foreign Policy,"['bluenews_ch', 'tagesschau', 'watson_news']","['zeitimbild', 'watson_news', 'zeit']"
synthetic_user_73,Right-Wing,Climate Change,"['zeitimbild', 'srfnews', 'kurier_at', 'derstandard']","['derstandard', 'heute_at', 'srfnews']"
synthetic_user_74,Centrist,Climate Change,"['rtlaktuell', 'srfnews', 'tagesschau']","['derstandard', 'tagesschau', '20minuten']"
synthetic_user_75,Right-Wing,Foreign Policy,"['krone_at', 'kurier_at', 'zeit', '20minuten']","['rtlaktuell', 'bluenews_ch', 'tagesanzeiger', 'srfnews', 'krone_at']"
synthetic_user_76,Economic Reform,Climate Change,"['rtlaktuell', '20minuten', 'bluenews_ch', 'zeitimbild']","['srfnews', '20minuten', 'zeitimbild', 'watson_news', 'rtlaktuell']"
synthetic_user_77,Economic Reform,Climate Change,"['zeit', 'faz']","['bluenews_ch', 'tagesanzeiger', 'faz']"
synthetic_user_78,Economic Reform,Social Justice,"['derstandard', 'kleinezeitung', 'tagesschau']","['tagesschau', 'bluenews_ch', 'kurier_at']"
synthetic_user_79,Right-Wing,Economic Policy,"['kleinezeitung', 'krone_at', 'watson_news', 'zeit']","['faz', 'tagesschau', 'zeitimbild', 'bluenews_ch', 'watson_news']"
synthetic_user_80,Economic Reform,Economic Policy,"['zeit', 'tagesschau', 'zeitimbild']","['kurier_at', 'heute_at', 'zeit']"
synthetic_user_81,Economic Reform,Social Justice,"['tagesanzeiger', 'bluenews_ch']","['zeit', 'krone_at']"
synthetic_user_82,Right-Wing,Economic Policy,"['20minuten', 'tagesschau', 'rtlaktuell']","['tagesanzeiger', 'tagesschau', 'watson_news']"
synthetic_user_83,Right-Wing,Economic Policy,"['kurier_at', 'krone_at', 'watson_news']","['20minuten', 'krone_at', 'kleinezeitung', 'heute_at', 'zeitimbild']"
synthetic_user_84,Environmental,Economic Policy,"['krone_at', 'kleinezeitung', 'zeit', 'watson_news']","['watson_news', 'derstandard', 'bluenews_ch', 'krone_at', 'zeit']"
