hashtag_names,like_count,music_id,region_code,video_description,view_count,comment_count,create_time,id,share_count,username,playlist_id,voice_to_text,effect_ids,subset,datetime,day_name,month_name,id-account,location,follows
"['news', 'ost', 'studium', 'ingenieur', 'fachhochschule', 'ingenieurin', 'watsonnews', 'technikstudieren']",1258.0,"7,23631588874658E+018",CH,Informiere dich jetzt über ein Ingenieurstudium an der OST.💡🤓  Präsentiert von der Ostschweizer Fachhochschule #studium #technikstudieren  #ost #fachhochschule #ingenieur #ingenieurin #news #watsonnews,155632,13,2023-05-23 10:01:50,"7,23631594959749E+018",51,watson_news,,,,ht_news,2023-05-23 10:01:50,1,5,11,Bern,"18,73,66,95"
"['uber', 'taxi', 'wien', 'nachrichten', 'aktuell', 'österreich', 'kotropfen']",245.0,"7,23307586929884E+018",AT,Vermeintliche Taxi- und Uber-Fahrer betäuben Fahrgäste mit K.o.-Tropfen. Bei der Polizei liegen bereits 22 Anzeigen vor. Den Artikel findet ihr im Link in der Bio (PLUS). #wien #taxi #uber #österreich #nachrichten #aktuell #kotropfen ,3628,5,2023-05-14 16:28:34,"7,23307583685591E+018",42,kurier.at,,"Stell dir vor, du fährst nach dem feiernheim und wirst dann unter Drogen gesetzt und ausgeraubt. In Wien ist das eine neue Masche von vermeintlichen taxlern und uberfahrern. Es liegen bereits 22 anzeigen, die diesem Muster folgen, bei der Polizei vor. Manche der Betroffenen haben angegeben, bei der Fahrt betrunken gewesen zu sein und 1 Zucker oder einen Kaugummi vom Fahrer angeboten bekommen zu haben. Danach erinnern sich Betroffene nur mehr lückenhaft an die Fahrt. Sie geben an, beraubt oder bedroht worden zu sein. Bei der Masche suchen sich falsche Taxi und Uber Fahrer offenbar gezielt betrunkene Personen Aus, um diese dann zu bestehen. Was kannst du tun, um nicht auf 1 Fake Taxi reinzufallen? 8. darauf, dass dein Taxi 1 TX Kennzeichen hat. Der taxilenker Ausweis des Fahrers sollte immer klar zu sehen sein. Jedes Taxi ist verpflichtet, 1 Taxischild am Dach zu haben. Bei Uber wird geraten, Kennzeichen, Autotyp und Profilbild des Fahrers mit den Daten in der App abzugleichen. Das Landeskriminalamt Wien ermittelt in der Angelegenheit bereits seit 10.2022. In der Branche Sorgen die Fälle für Entsetzen der Taxi. Obmann Leopold kauzner fordert klare rechtliche Konsequenzen, weil die Vorfälle die gesamte Branche in 1 schlechtes Licht Rücken.",,ht_nachrichten,2023-05-14 16:28:34,6,5,12,Salzburg,"57,93"
"['news', 'tageszeitungheute', 'heutezeitung']",9479.0,"7,24448984394059E+018",AT,Raser-Autos werden versteigert! Das sind die Top-News des Tages #news #tageszeitungheute #heutezeitung,216185,1055,2023-06-14 10:40:44,"7,24448927368297E+018",3683,heute.at,,"Raser Autos werden künftig versteigert, das sind die Top News des Tages. Jetzt gibt es keinen drinnen mehr, die Regierung hat heute die neue ORF Gebühr fixiert. AB dem 01.01.2024 kommt eine haushaltsabgabe für alle in Höhe von 15 Euro 30 monatlich. Gelsenklage in Kroatien. Die Stadt osiak hat mit heftigen gelsen Angriffen zu kämpfen. Jetzt werden Fliege eingesetzt, die larvengift versprühen, um die Insekten noch vor dem schlüpfen zu beseitigen. Im Ministerrat wurde der letzte Teil des Maßnahmen Pakets gegen Raserei beschlossen. Bei geschwindigkeitsübertretungen von 60 KMH innerorts beziehungsweise 70 KMH außerhalb des ortsgebiets wird von der Polizei das Auto künftig an Ort und Stelle für bis zu 2 Wochen beschlagnahmt. Handelt es sich um einen Wiederholungstäter, darf die Behörde das Fahrzeug einziehen und sogar versteigern. Genauere Infos dazu findest du auf heute Punkt A T.",,ht_news,2023-06-14 10:40:44,2,6,13,Innsbruck,"5,95,86"
"['foryou', 'news', 'fy', 'kimjongun', 'zib', 'nordkorea', 'foryoupage', 'zeitimbild']",2771.0,"7,30980377518996E+018",AT,Emotionale Szenen: Nordkoreas Machthaber Kim Jong-un ruft zu mehr Geburten in dem kommunistischen Regime auf #zeitimbild #zib #news #fy #foryou #foryoupage #nordkorea  #kimjongun,1012,59,2023-12-07 10:51:55,"7,30980375186545E+018",3,zeitimbild,,,,ht_news,2023-12-07 10:51:55,3,12,14,Innsbruck,83
"['breaking', 'cigarette', 'smoker', 'smoking', 'shisha', 'viral', 'breakingnews', 'foryou', 'news', 'fy', 'fyp', 'rauchen', 'gesundheit', 'faz', 'rauchfrei', 'raucher', 'nachrichten', 'wasserpfeife', 'ungesund', 'nikotine', 'schädlich', 'wasserpfeiffe', 'rauchfreichallenge', 'eshishas', 'faznews']",82.0,"7,277854253086E+018",DE,🚬 oder ‍💨 - wie steht ihr zum Rauchen? #shisha #eshishas #rauchen #raucher #schädlich #gesundheit#ungesund #smoker #smoking #cigarette #wasserpfeife #wasserpfeiffe #rauchfrei #rauchfreichallenge #nikotine #faz #faznews #nachrichten #breaking #breakingnews #news #foryou #fyp #viral #fy #fypシ,88,2,2023-09-12 18:50:00,"7,27785367738419E+018",1,faz,,"Was is schädlicher Zigarette oder E Shisha, sogenannte Vapes werden bei Jugendlichen immer beliebter, vor allem aufgrund ihres angenehmen Geschmacks. Den Tabak gibt es in verschiedenen Aromen zu kaufen, beispielsweise Wassermelone, Zitrone oder Traube Minze. Im Gegensatz zu Zigarette schmeckt die Vape gut und wirkt deshalb harmlos, vor allem auf Junge Menschen, die ihre 1. Erfahrungen mit dem Rauchen machen. Wie gesundheitsschädlich sie sind es aber noch nicht ausreichend erforscht, da es E Shishas noch gar nicht Lange gibt. Somit fehlen zuverlässige Studienergebnisse zu Langzeitschäden. Was man aber weiß, ist, dass E Shishas zwar geringere Mengen an krebserzeugenden und anderen ungesunden Stoffen enthalten, gesund sind die Waves aber trotzdem nicht. kann ebenfalls krebserzeugende Stoffe enthalten oder Allergien auslösen, ganz zu schweigen vom Nikotin, das den Blutdruck und das Risiko für Thrombosen, Herz, Kreislauf Erkrankung und Schlaganfälle erhöht. Wer das Liquid verschluckt, kann außerdem lebensgefährlich vergiftet werden. Über eine kurze anwendungsdauer betrachtet, ist das dampfen nach derzeitigen Forschungsstand tatsächlich weniger gesundheitsschädlich als das rauchen. Aber auch bei webrauchern treten typische Atemwegserkrankungen wie Asthma oder chronische Bronchitis auf, war seltener als bei Rauchern, aber häufiger als bei nichtnutzern am häufigsten erkrankten Menschen, die sowohl E Shisha als auch normale Zigaretten konsumieren. Gesund ist also, nur von Zigaretten und selbst die Finger zu lassen.",,ht_nachrichten,2023-09-12 18:50:00,1,9,15,Düsseldorf,5
"['eu', 'euro', 'kroatien', 'nachrichten', 'tagesschau']",59059.0,"7,18409226330162E+018",DE,"Wer will hin, wer war schon da? #kroatien #euro #eu #tagesschau #nachrichten",549653,2468,2023-01-02 16:27:08,"7,18409225772796E+018",4300,tagesschau,,weißt du schon wo deine abschlussfahrt hingeht kroatien ist beliebt bei vielen klassen und die reise dahin wird jetzt noch einfacher denn seit dem 1. januar gehört kroatien zum schengen raum in europa du musst also an der grenze nicht mehr deinen ausweis zeigen und dadurch fallen auch lange staus bei der einreise weg außerdem ist kroatien jetzt teil der eurozone heißt auch geldwechsel musst du jetzt nicht mehr in kroatien gibt's jetzt den euro und,,ht_nachrichten,2023-01-02 16:27:08,0,1,16,Düsseldorf,"40,65,36,35,16"
"['news', 'italien', 'nachrichten', 'ladispoli', 'löwe', 'zirkuslöwe']",292.0,"7,30098731048411E+018",AT,"Löwe spaziert durch italienische Innenstadt: In der italienischen Hafenstadt Ladispoli ist ein Zirkus-Löwe ausgebrochen und war stundenlang unterwegs, bevor er eingefangen wurde. Mehr dazu im Artikel - Link in der Bio. #italien #löwe #ladispoli #zirkuslöwe #nachrichten #news",29,10,2023-11-13 16:39:31,"7,30098727048663E+018",0,kurier.at,,"In der italienischen Hafenstadt Ladis Poli mussten die Behörden auf löwenjagd gehen. Am Samstag spazierte das Raubtier stundenlang durch die 40.000 einwohnerstadt nördlich von ROM, gemächlich durch Straßen und übergehsteige. Kimba ist 1 Zirkus Löwe und war dem Zirkus Ronny Roller, der gerade in der Stadt haltmacht, gegen 16 Uhr entwischt. Erst gegen 21 Uhr gelang es, das Raubtier zu betäuben und einzufangen. Dem Zirkus droht nun eine Anzeige wegen Vernachlässigung der Aufsichtspflicht. Der Zirkusdirektor behauptet jedoch, Opfer von Sabotage geworden zu sein.",,ht_nachrichten,2023-11-13 16:39:31,0,11,17,Salzburg,54
"['rammstein', 'viral', 'breakingnews', 'foryou', 'news', 'fy', 'fyp', 'ukraine', 'greta', 'climatechange', 'tilllindemann', 'nachrichten', 'asyl', 'eilmeldung', 'staudamm', 'streik', 'thunberg', 'ukrainerussia', 'klimaschutz', 'newsupdates', 'fridaysforfuture', 'gretathunberg', 'klimastreik', 'learnontiktok', 'lernenmittiktok', 'asylrecht', 'ukrainekrieg', 'faznews', 'kachowka', 'newsontiktokofficial']",74.0,"7,24266558089175E+018",DE,Greta Thunberg streikt heute zum letzten Mal!!! #Greta #gretathunberg #thunberg #fridaysforfuture #klimastreik #klimaschutz #climatechange #streik #rammstein #tilllindemann #asyl #asylrecht #ukraine #ukrainerussia #ukrainekrieg #staudamm #kachowka #faznews  #news #nachrichten  #newsupdates  #newsontiktokofficial  #eilmeldung  #breakingnews  #lernenmittiktok  #learnontiktok  #fy  #fyp  #foryou  #viral,1828,2,2023-06-09 19:20:00,"7,24266554284535E+018",3,faz,,"Das sind die News der Woche. Rammstein steht unter Beschuss. In verschiedenen Medien haben mehrere Frauen schwere Vorwürfe gegen Rammstein Sänger Til Lindemann erhoben. Die mutmaßlich Betroffenen geben an, gezielt für Aftershow Partys mit Lindemann rekrutiert worden zu sein, um dort Sex mit ihm zu haben. 2 Frauen geben an, dass der Sex nicht einvernehmlich gewesen sein soll. Die Rede ist auch von der Verabreichung von K O. Tropfen. Eine mutmaßlich Betroffene gibt zum Beispiel an, sie sei in einem Hotelzimmer erwacht, ohne zu wissen, wie sie dahin gekommen sei, mit Lindemann auf ihr drauf. Der Lindemann hat über seine Anwälte verlauten lassen, diese Vorwürfe sind ausnahmslos unwahr. Die EU Staaten wollen Asylverfahren verschärfen. Wer Aus einem Land nach Europa kommt, das als sicher gilt, soll künftig nach dem Grenzübertritt in streng kontrollierte aufnahmeeinrichtungen kommen. Innerhalb von 12 Wochen soll dann geprüft werden, OB der Antragsteller Chancen auf Asyl hat. Falls nicht, soll er umgehend in sein Heimatland zurückgeschickt werden. Das gilt auch für Familien mit Kindern. Nun muss das EU Parlament noch zustimmen, nach der Flut kommen die Granaten. Nachdem zu Beginn der Woche der karaoker Staudamm in der Ukraine gesprengt wurde, stehen Teile des Landes unter Wasser. Mehrere Menschen kamen dabei ums Leben. Betroffen ist auch das Gebiet rasson, das trotz laufender Rettungsmaßnahmen beschossen wurde. Ukrainischen Angaben zufolge reicht das im Stausee verbliebene Wasser nicht mehr Aus, um die Reaktoren des Atomkraftwerks saporischa zu kühlen. Peter thüringberg streikt an diesem Freitag zum letzten mal für das Klima. Die. Inzwischen 20 Jahre alte Aktivistin hat nämlich ihr Abi gemacht. Insgesamt 251 Wochen lang hat die Aktivistin sich an regulären schulfreitagen vor's schwedische Parlament gestellt, um für mehr Klimaschutz zu demonstrieren und will aber auch weiter demonstrieren Unterricht verpasst sie jetz, aber nich mehr.",,ht_nachrichten,2023-06-09 19:20:00,4,6,18,Berlin,"93,58,17,66"
"['manga', 'nachrichten', 'politik', 'vereintenationen']",11.0,"7,22310376258324E+018",DE,"In New York findet die UN-Vollversammlung statt, bei der Delegierte aller Mitgliedsstaaten der Vereinten Nationen zusammenkommen. Auch unsere Mangaheldin Zoe ist dabei – zumindest im Traum. Was würdet ihr für eine Rede vor der Vollversammlung halten? Manga: Inga Steinmetz #politik #nachrichten #vereintenationen #manga",18,0,2023-09-21 18:07:28,"7,28134243094155E+018",0,zeit,,,,ht_nachrichten,2023-09-21 18:07:28,3,9,19,Düsseldorf,"65,45,46,71"
"['deutschland', 'nachrichten', 'deutscherpass', 'ampelkoalition', 'staatsbürgerschaft', 'derstandard', 'lernenmittiktok', 'ampelregierung', 'deutschestaatsbürgerschaft']",87.0,"6,907281939066E+018",AT,In Österreich ist für die Verleihung der Staatsbürgerschaft mindestens ein zehnjähriger rechtmäßiger und ununterbrochener Aufenthalt in Österreich erforderlich. Ausnahmen gelten für EU-/EWR-Angehörige – hier ist die notwendige Aufenthaltsdauer auf sechs Jahre reduziert. #derstandard #lernenmittiktok #nachrichten #deutschland #deutschestaatsbürgerschaft #ampelkoalition #ampelregierung #staatsbürgerschaft #deutscherpass ,27,17,2023-08-23 12:08:20,"7,27048839420188E+018",0,derstandard,,"Deutschland will den Zugang zur Staatsbürgerschaft erleichtern. Grundsätzlich soll es schon nach 5 Jahren Aufenthalt möglich sein, den deutschen Pass zu bekommen. Ausdrücklich ausgeschlossen sind Menschen, die Aus antisemitischen oder rassistischen Motiven Straftaten begangen haben. Voraussetzung soll auch sein, dass man seinen Lebensunterhalt in der Regel ohne Sozialleistungen bestreiten kann. Besonders gut integrierte Menschen sollen schon nach 3 Jahren die Staatsbürgerschaft erhalten. Auch die mehr staatlichkeit soll mit dem Gesetz ermöglicht werden. Was hältst du vom Entwurf der ampelregierung?",,ht_nachrichten,2023-08-23 12:08:20,2,8,20,Wien,"57,65"
"['gaza', 'news', 'srfnews']",105.0,"7,30510983495258E+018",CH,"Feuerpause im Gaza-Krieg: Zwischen Israel und der islamistischen Hamas ruhen seit Freitagmorgen vorerst für vier Tage die Waffen. Im Zuge der Vereinbarung werden Geiseln- und Häftlinge ausgetauscht. Hamas-Chef Ismail Haniyya bekräftigte am Freitag den Willen, das Abkommen fortzuführen, solange sich Israel ebenso daran halte. Gleichzeitig macht Israels Aussenminister aber klar: Sein Land werde nach der Waffenpause den Krieg weiterführen. Vorerst dürfen sich die Angehörigen der befreiten Geiseln aber über deren Rückkehr freuen. #gaza #news #srfnews",76,9,2023-11-24 19:17:01,"7,30510974344867E+018",0,srfnews,,,,ht_news,2023-11-24 19:17:01,4,11,21,Bern,"65,49,54,47,36"
